instrument_id,user_id,rating,review
616,346,2.5,"Perfect for jamming sessions, loved it!"
349,396,2.8,Amazing sound quality and very easy to play.
545,211,4.1,"Would not buy again, very disappointed."
532,330,1.2,Good for beginners but lacks professional features.
958,105,1.8,The keys feel smooth and responsive.
365,133,3.6,"Perfect for jamming sessions, loved it!"
264,389,4.5,"Not worth the price, expected better."
646,304,1.1,"Solid build, but the sound is a bit off."
376,305,3.5,Good for beginners but lacks professional features.
729,495,3.7,The keys feel smooth and responsive.
483,76,3.4,"Excellent tone, highly recommended!"
419,357,1.3,"Not worth the price, expected better."
158,179,2.9,"High-quality materials used, very durable."
999,267,4.3,"Solid build, but the sound is a bit off."
919,367,4.9,"Excellent tone, highly recommended!"
871,312,3.3,"Perfect for jamming sessions, loved it!"
671,325,4.4,The keys feel smooth and responsive.
660,73,3.7,"Decent instrument, but has tuning issues."
955,59,2.4,"Would not buy again, very disappointed."
227,141,3.3,"Would not buy again, very disappointed."
374,371,2.0,"Not worth the price, expected better."
489,224,2.0,Amazing sound quality and very easy to play.
790,488,2.0,The keys feel smooth and responsive.
545,282,1.7,"Would not buy again, very disappointed."
150,358,4.2,"Solid build, but the sound is a bit off."
320,155,4.0,"Solid build, but the sound is a bit off."
140,368,1.2,"Decent instrument, but has tuning issues."
960,299,3.2,"Solid build, but the sound is a bit off."
813,48,1.9,"High-quality materials used, very durable."
316,378,4.7,"Perfect for jamming sessions, loved it!"
118,69,4.6,"Perfect for jamming sessions, loved it!"
248,196,1.8,"Not worth the price, expected better."
388,358,2.8,"Not worth the price, expected better."
980,355,1.3,Good for beginners but lacks professional features.
462,42,2.7,Good for beginners but lacks professional features.
658,280,4.9,The keys feel smooth and responsive.
282,33,1.1,"Excellent tone, highly recommended!"
202,308,2.1,"Decent instrument, but has tuning issues."
113,159,3.0,"Would not buy again, very disappointed."
266,2,1.3,Amazing sound quality and very easy to play.
907,484,4.5,"Perfect for jamming sessions, loved it!"
835,374,1.9,"Decent instrument, but has tuning issues."
742,314,4.8,"Excellent tone, highly recommended!"
342,59,4.0,"High-quality materials used, very durable."
970,193,1.7,"Not worth the price, expected better."
770,310,3.8,The keys feel smooth and responsive.
227,44,2.2,Good for beginners but lacks professional features.
909,455,4.0,"Would not buy again, very disappointed."
288,500,2.9,"Perfect for jamming sessions, loved it!"
825,488,3.2,Good for beginners but lacks professional features.
392,106,3.2,"High-quality materials used, very durable."
815,184,1.0,"Not worth the price, expected better."
120,410,3.2,Good for beginners but lacks professional features.
562,222,1.6,Amazing sound quality and very easy to play.
364,289,2.1,Good for beginners but lacks professional features.
